REP;SUB;CUL;ORI;NNCF;WNCF;AWNCF;WUE;NDBF;NDFF;NDBH;PHYL;TA;NCF;TNF;WCF;TWF;AWCF;OAWF;FY;TSS;TSS_TA;FIRM;L;CHROMA;H
1;S1;CAM;NAC;3.88;21.36;5.51;93.44;82;92;81;162.37;1.38;28.13;32;424.94;446.31;15.11;13.95;33469;6.77;4.89;1.53;57.02;40.49;42.4
1;S1;CAM;IMP;6.13;36.25;5.92;125.49;61;83;82;185.24;1.72;24;30.13;306.59;342.84;12.77;11.38;25712.72;8.27;4.79;1.95;48.69;47.1;40.7
1;S1;ALB;NAC;1.2;10.34;8.62;136.26;69;82;78;188.62;1.77;19.6;20.8;329.78;340.12;16.83;16.35;25509;7.25;4.1;2.07;55.17;45.97;43.21
1;S1;ALB;IMP;2.86;50.14;17.55;94.16;44;70;69;179.95;1.4;24.86;27.71;372.5;422.64;14.99;15.25;31698.21;8.35;5.98;1.93;53.2;47.03;42.69
1;S2;CAM;NAC;4.67;41.12;8.81;190.48;86;92;108;123.51;1.51;12.33;17;147.82;188.93;11.99;11.11;14170;7.2;4.76;1.73;53.37;43.7;42.25
1;S2;CAM;IMP;5.5;24.85;4.52;241.93;61;89;85;148.83;1.34;12.83;18.33;148.48;173.33;11.57;9.45;13000;7.13;5.34;1.92;51.45;47.85;41.59
1;S2;ALB;NAC;1.4;6.14;4.39;167.31;71;82;88;143.21;1.47;15.2;16.6;218.02;224.16;14.34;13.5;16812;7.45;5.08;1.71;52.85;44.53;41.52
1;S2;ALB;IMP;3.38;28.28;8.38;115.48;44;70;72;113.32;1.49;20;23.38;305.78;334.05;15.29;14.29;25053.75;8.4;5.64;1.99;51.3;47.69;41.86
1;S3;CAM;NAC;10.57;77.34;7.32;58.79;54;69;74;88.21;1.33;41.86;52.43;586.16;663.5;14;12.66;49762.5;6.8;5.13;0.95;52.77;48.09;43.75
1;S3;CAM;IMP;8.25;67.11;8.13;63.56;55;70;79;246.09;1.6;31.63;39.88;493.59;558.7;15.61;14.06;42058.5;7.88;4.92;1.69;51.2;46.06;39.88
1;S3;ALB;NAC;4;10.78;2.7;137.18;68;71;88;142.81;1.78;18;22;289.37;300.15;16.08;13.64;22511.38;7.95;4.46;1.97;53.67;46.18;42.25
1;S3;ALB;IMP;3.88;20.55;5.3;79.43;42;57;63;165.73;1.68;29;32.88;509.38;529.93;17.56;16.12;39744.38;8.12;4.84;1.6;55.28;44.27;42.39
1;S4;CAM;NAC;4.88;32.2;6.61;75.58;54;92;84;151.53;1.09;30;34.88;1176.81;502.46;19.23;14.41;37684.69;7;6.45;1.58;55.44;44.19;42.76
1;S4;CAM;IMP;7.13;56.01;7.86;75.95;55;78;75;115.07;1.08;34.13;41.25;446.31;502.33;13.08;12.18;37674.38;6.95;6.44;1.81;49.74;48.07;41.11
1;S4;ALB;NAC;1;5.57;5.57;109.24;68;77;88;200;1.32;21.83;22.83;349.23;354.8;16;15.54;26610;6.35;4.81;2.24;56.25;42.02;42.56
